suffix	f(suffix)	fs(suffix)	len(suffix)
'9'*0	0	0	0
'9'*1	362880	27	1
'9'*2	725760	27	2
'9'*3	1088640	27	3
'9'*4	1451520	18	4
'9'*5	1814400	18	5
'9'*6	2177280	27	6
'9'*7	2540160	18	7
'9'*8	2903040	18	8
'9'*9	3265920	27	9
'9'*10	3628800	27	10
'9'*11	3991680	36	11
'9'*12	4354560	27	12
'9'*13	4717440	27	13
'9'*14	5080320	18	14
'9'*15	5443200	18	15
'9'*16	5806080	27	16
'9'*17	6168960	36	17
'9'*18	6531840	27	18
'9'*19	6894720	36	19
'9'*20	7257600	27	20
'9'*21	7620480	27	21
'9'*22	7983360	36	22
'9'*23	8346240	27	23
'9'*24	8709120	27	24
'9'*25	9072000	18	25
'9'*26	9434880	36	26
'9'*27	9797760	45	27
'9'*28	10160640	18	28
'9'*29	10523520	18	29
'9'*30	10886400	27	30
'9'*31	11249280	27	31
'9'*32	11612160	18	32
'9'*33	11975040	27	33
'9'*34	12337920	27	34
'9'*35	12700800	18	35
'9'*36	13063680	27	36
'9'*37	13426560	27	37
'9'*38	13789440	36	38
'9'*39	14152320	18	39
'9'*40	14515200	18	40
'9'*41	14878080	36	41
'9'*42	15240960	27	42
'9'*43	15603840	27	43
'9'*44	15966720	36	44
'9'*45	16329600	27	45
'9'*46	16692480	36	46
'9'*47	17055360	27	47
'9'*48	17418240	27	48
'9'*49	17781120	27	49
'9'*50	18144000	18	50
'9'*51	18506880	36	51
'9'*52	18869760	45	52
'9'*53	19232640	27	53
'9'*54	19595520	36	54
'9'*55	19958400	36	55
'9'*56	20321280	18	56
'9'*57	20684160	27	57
'9'*58	21047040	18	58
'9'*59	21409920	27	59
'9'*60	21772800	27	60
'9'*61	22135680	27	61
'9'*62	22498560	36	62
'9'*63	22861440	27	63
'9'*64	23224320	18	64
'9'*65	23587200	27	65
'9'*66	23950080	27	66
'9'*67	24312960	27	67
'9'*68	24675840	36	68
'9'*69	25038720	27	69
'9'*70	25401600	18	70
'9'*71	25764480	36	71
'9'*72	26127360	27	72
'9'*73	26490240	27	73
'9'*74	26853120	27	74
'9'*75	27216000	18	75
'9'*76	27578880	45	76
'9'*77	27941760	36	77
'9'*78	28304640	27	78
'9'*79	28667520	36	79
'9'*80	29030400	18	80
'9'*81	29393280	36	81
'9'*82	29756160	36	82
'9'*83	30119040	18	83
'9'*84	30481920	27	84
'9'*85	30844800	27	85
'9'*86	31207680	27	86
'9'*87	31570560	27	87
'9'*88	31933440	27	88
'9'*89	32296320	27	89
'9'*90	32659200	27	90
'9'*91	33022080	18	91
'9'*92	33384960	36	92
'9'*93	33747840	36	93
'9'*94	34110720	18	94
'9'*95	34473600	27	95
'9'*96	34836480	36	96
'9'*97	35199360	36	97
'9'*98	35562240	27	98
'9'*99	35925120	27	99
'9'*100	36288000	27	100
'9'*101	36650880	36	101
'9'*102	37013760	27	102
'9'*103	37376640	36	103
'9'*104	37739520	36	104
'9'*105	38102400	18	105
'9'*106	38465280	36	106
'9'*107	38828160	36	107
'9'*108	39191040	27	108
'9'*109	39553920	36	109
'9'*110	39916800	36	110
'9'*111	40279680	36	111
'9'*112	40642560	27	112
'9'*113	41005440	18	113
'9'*114	41368320	27	114
'9'*115	41731200	18	115
'9'*116	42094080	27	116
'9'*117	42456960	36	117
'9'*118	42819840	36	118
'9'*119	43182720	27	119
'9'*120	43545600	27	120
'9'*121	43908480	36	121
'9'*122	44271360	27	122
'9'*123	44634240	27	123
'9'*124	44997120	36	124
'9'*125	45360000	18	125
'9'*126	45722880	36	126
'9'*127	46085760	36	127
'9'*128	46448640	36	128
'9'*129	46811520	27	129
'9'*130	47174400	27	130
'9'*131	47537280	36	131
'9'*132	47900160	27	132
'9'*133	48263040	27	133
'9'*134	48625920	36	134
'9'*135	48988800	45	135
'9'*136	49351680	36	136
'9'*137	49714560	36	137
'9'*138	50077440	27	138
'9'*139	50440320	18	139
'9'*140	50803200	18	140
'9'*141	51166080	27	141
'9'*142	51528960	36	142
'9'*143	51891840	36	143
'9'*144	52254720	27	144
'9'*145	52617600	27	145
'9'*146	52980480	36	146
'9'*147	53343360	27	147
'9'*148	53706240	27	148
'9'*149	54069120	27	149
'9'*150	54432000	18	150
'9'*151	54794880	45	151
'9'*152	55157760	36	152
'9'*153	55520640	27	153
'9'*154	55883520	36	154
'9'*155	56246400	27	155
'9'*156	56609280	36	156
'9'*157	56972160	36	157
'9'*158	57335040	27	158
'9'*159	57697920	45	159
'9'*160	58060800	27	160
'9'*161	58423680	36	161
'9'*162	58786560	45	162
'9'*163	59149440	36	163
'9'*164	59512320	27	164
'9'*165	59875200	36	165
'9'*166	60238080	27	166
'9'*167	60600960	27	167
'9'*168	60963840	36	168
'9'*169	61326720	27	169
'9'*170	61689600	36	170
'9'*171	62052480	27	171
'9'*172	62415360	27	172
'9'*173	62778240	36	173
'9'*174	63141120	18	174
'9'*175	63504000	18	175
'9'*176	63866880	45	176
'9'*177	64229760	36	177
'9'*178	64592640	36	178
'9'*179	64955520	36	179
'9'*180	65318400	27	180
'9'*181	65681280	36	181
'9'*182	66044160	27	182
'9'*183	66407040	27	183
'9'*184	66769920	45	184
'9'*185	67132800	27	185
'9'*186	67495680	45	186
'9'*187	67858560	45	187
'9'*188	68221440	27	188
'9'*189	68584320	36	189
'9'*190	68947200	36	190
'9'*191	69310080	27	191
'9'*192	69672960	45	192
'9'*193	70035840	27	193
'9'*194	70398720	36	194
'9'*195	70761600	27	195
'9'*196	71124480	27	196
'9'*197	71487360	36	197
'9'*198	71850240	27	198
'9'*199	72213120	18	199
'9'*200	72576000	27	200
'9'*201	72938880	45	201
'9'*202	73301760	27	202
'9'*203	73664640	36	203
'9'*204	74027520	27	204
'9'*205	74390400	27	205
'9'*206	74753280	36	206
'9'*207	75116160	27	207
'9'*208	75479040	36	208
'9'*209	75841920	36	209
'9'*210	76204800	27	210
'9'*211	76567680	45	211
'9'*212	76930560	36	212
'9'*213	77293440	36	213
'9'*214	77656320	36	214
'9'*215	78019200	27	215
'9'*216	78382080	36	216
'9'*217	78744960	45	217
'9'*218	79107840	36	218
'9'*219	79470720	36	219
'9'*220	79833600	36	220
'9'*221	80196480	36	221
'9'*222	80559360	36	222
'9'*223	80922240	27	223
'9'*224	81285120	27	224
'9'*225	81648000	27	225
'9'*226	82010880	27	226
'9'*227	82373760	36	227
'9'*228	82736640	36	228
'9'*229	83099520	36	229
'9'*230	83462400	27	230
'9'*231	83825280	36	231
'9'*232	84188160	36	232
'9'*233	84551040	27	233
'9'*234	84913920	36	234
'9'*235	85276800	36	235
'9'*236	85639680	45	236
'9'*237	86002560	27	237
'9'*238	86365440	36	238
'9'*239	86728320	36	239
'9'*240	87091200	27	240
'9'*241	87454080	36	241
'9'*242	87816960	45	242
'9'*243	88179840	45	243
'9'*244	88542720	36	244
'9'*245	88905600	36	245
'9'*246	89268480	45	246
'9'*247	89631360	36	247
'9'*248	89994240	45	248
'9'*249	90357120	27	249
'9'*250	90720000	18	250
'9'*251	91082880	36	251
'9'*252	91445760	36	252
'9'*253	91808640	36	253
'9'*254	92171520	27	254
'9'*255	92534400	27	255
'9'*256	92897280	45	256
'9'*257	93260160	27	257
'9'*258	93623040	27	258
'9'*259	93985920	45	259
'9'*260	94348800	36	260
'9'*261	94711680	36	261
'9'*262	95074560	36	262
'9'*263	95437440	36	263
'9'*264	95800320	27	264
'9'*265	96163200	27	265
'9'*266	96526080	36	266
'9'*267	96888960	54	267
'9'*268	97251840	36	268
'9'*269	97614720	36	269
'9'*270	97977600	45	270
'9'*271	98340480	36	271
'9'*272	98703360	36	272
'9'*273	99066240	36	273
'9'*274	99429120	36	274
'9'*275	99792000	36	275
'9'*276	100154880	27	276
'9'*277	100517760	27	277
'9'*278	100880640	27	278
'9'*279	101243520	18	279
'9'*280	101606400	18	280
'9'*281	101969280	36	281
'9'*282	102332160	18	282
'9'*283	102695040	27	283
'9'*284	103057920	27	284
'9'*285	103420800	18	285
'9'*286	103783680	36	286
'9'*287	104146560	27	287
'9'*288	104509440	27	288
'9'*289	104872320	27	289
'9'*290	105235200	18	290
'9'*291	105598080	36	291
'9'*292	105960960	36	292
'9'*293	106323840	27	293
